class,type,name,showif,value,label,optional,,
mc_vertical answer_below_label,mc comuna_8,comuna_P07_8,region_P07==8,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_9,comuna_P07_9,region_P07==9,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_10,comuna_P07_10,region_P07==10,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_11,comuna_P07_11,region_P07==11,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_12,comuna_P07_12,region_P07==12,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_13,comuna_P07_13,region_P07==13,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_14,comuna_P07_14,region_P07==14,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_15,comuna_P07_15,region_P07==15,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_16,comuna_P07_16,region_P07==16,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,select_one relacion,vinculo_P07,count_SN6 > 1,,¿Cuál es el vínculo con el/la niño/a?,,,
answer_below_label,text,vinculo_P07_esp,vinculo_P07 == 17,,Especifique,,,
mc_vertical answer_below_label,text,anio_P07,count_SN6 > 1,,"¿Qué edad tenía el niño/a cuando esta persona comenzó a participar en su cuidado? Si el niño/a tenía menos de 1 año o esta persona ha participado desde su nacimiento, indique “0”.",,,
mc_vertical answer_below_label,mc_multiple cuidado,cuidado_P07,count_SN6 > 1,,"Durante el último mes, ¿qué tipo(s) de cuidado entregó esta persona al/a niño/a?",,,
answer_below_label,text,cuidado_P07_esp,"cuidado_P07==7| cuidado_P07 %contains_word% ""7""",,Especifique,,,
mc_vertical answer_below_label,mc frecuencia,frecuencia_P07,count_SN6 > 1,,"Durante el último mes, ¿con qué frecuencia participó en el cuidado del niño/a?",,,
mc_vertical answer_below_label,mc horas,horas_P07,count_SN6 > 1,,"En los días que esta persona cuidó al/la niño/a, ¿cuántas horas aproximadamente lo/la cuidó?",,,
,submit,persona08,,,Siguiente,,,
counter space_bottom_60,"number 1,21",count_SN7,count_SN6 > 1,1,¿Quiere añadir otra persona?,,,
,note,p8,count_SN7 > 1,,**Persona 8**,,,
clear right150 align_horizontally select2 label_as_placeholder row_height_40,text 50,nombre_P08,count_SN7 > 1,,Nombre,,,
mc_vertical answer_below_label,select_one sex_list,sex_P08,count_SN7 > 1,,¿Cuál es el sexo de esta persona?,,,
mc_vertical answer_below_label,text,edad_P08,count_SN7 > 1,,¿Cuál es la edad en años cumplidos de esta persona?,,,
